"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","深度学习/机器视觉/图像算法工程师","杭州·西兴","10k-20k","经验不限/硕士","14:26发布","很赞科技","游戏/未融资/50-150人","“双休法定假日 五险一金 节日福利”","/图像处理/机器学习/模式识别/"
"2","机器视觉和深度学习","成都·高新区","8k-12k","经验1-3年/本科","2天前发布","酷博","硬件,数据服务/不需要融资/150-500人","“核心岗位、前景好”","/图像处理/计算机视觉/人工智能/"
"3","机器视觉","东莞·东莞市市辖区","20k-40k","经验3-5年/硕士","16:41发布","博智林机器人公司","移动互联网,人工智能/上市公司/500-2000人","“高薪、高平台”","/人工智能/计算机视觉/图像处理/"
"4","机器视觉工程师","成都·武侯区","15k-30k","经验3-5年/本科","09:49发布","成都睿码科技有限责任公司（KANKAN AI）","移动互联网,数据服务/上市公司/150-500人","“六险一金、年底双薪、年终绩效、多重福利”","/C++/"
"5","机器视觉工程师","成都·高新区","18k-36k","经验3-5年/本科","13:08发布","大农科技","移动互联网/未融资/50-150人","“五险一金,年底双薪,弹性工作”","/人工智能/机器学习/深度学习/"
"6","AI工程师-机器视觉","上海·长征","20k-35k","经验1-3年/本科","2天前发布","红星美凯龙","其他/上市公司/2000人以上","“美女如云 专业培训 下午茶零食 团建”","/人工智能/计算机视觉/"
"7","机器视觉系统开发工程师","重庆·鸳鸯","10k-15k","经验1-3年/硕士","10:29发布","轻推","移动互联网/不需要融资/150-500人","“世界500强央企 大平台”","/计算机视觉/机器学习/人工智能/"
"8","机器视觉开发工程师","深圳·坂田","10k-20k","经验不限/本科","10:00发布","小鱼易连","移动互联网/B轮/150-500人","“餐饮补贴,通讯补贴,五险一金,弹性工作”","/机器学习/深度学习/"
"9","机器视觉软件研发工程师","上海·徐家汇","25k-50k","经验3-5年/硕士","2019-03-15","媒智科技","移动互联网/A轮/15-50人","“机器视觉,深度学习,人性化,股票期权”","/视频/计算机视觉/算法/"
"10","机器视觉研发高级工程师（人工智能研究院）","北京·北京大学","20k-30k","经验3-5年/本科","18:44发布","迈外迪","移动互联网,O2O/D轮及以上/150-500人","“中关村上班,团队氛围好,技术新”","/计算机视觉/机器学习/深度学习/算法/"
"11","机器人视觉伺服系统工程师","重庆·渝北区","8k-15k","经验不限/硕士","2天前发布","中冶赛迪研发中心","其他/不需要融资/2000人以上","“大型央企、五星食堂、员工公寓”","/计算机视觉/图像处理/机器学习/"
"12","机器视觉算法工程师","深圳·科技园","25k-50k","经验1-3年/硕士","09:46发布","PerceptIn普思英察","硬件,移动互联网/B轮/50-150人","“机器人,牛人团队,黑科技,晋升空间大”","/股票期权/年终分红/弹性工作/领导好/"
