"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","搜索算法-机器学习方向","上海·长宁区","30k-60k","经验3-5年/硕士","1天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“拼多多”","/电商/"
"2","机器学习工程师（校招）","北京·望京","15k-30k","经验应届毕业生/本科","2天前发布","数美","企业服务,数据服务/B轮/150-500人","“快速发展，七险一金、薪酬给力，大牛导师”","/深度学习/"
"3","机器学习系统工程师","深圳·宝安区","25k-50k","经验3-5年/本科","2019-03-15","vivo","移动互联网/未融资/2000人以上","“亿级用户，快速发展”","/C++/Java/Python/"
"4","机器学习研究员","北京·海淀区","35k-55k","经验3-5年/本科","1天前发布","联想集团","移动互联网,数据服务/上市公司/2000人以上","“国际化视野 良好的工作环境 完善福利”","/算法/推荐/深度学习/"
"5","机器学习算法工程师","厦门·思明区","20k-40k","经验不限/不限","1天前发布","瑞幸咖啡","移动互联网,O2O/B轮/2000人以上","“人才引进房”","/带薪年假/午餐补助/领导好/扁平管理/"
"6","机器学习算法工程师","杭州·滨江区","20k-38k","经验不限/硕士","12:07发布","R2.ai","人工智能/A轮/50-150人","“AI 美国公司”","/大数据/其他/人工智能/"
"7","机器学习算法工程师","北京·学院路","30k-50k","经验3-5年/硕士","1天前发布","慧安金科","人工智能,数据服务/A轮/50-150人","“六险一金 弹性工作 零食供应 免费早午餐”","/人工智能/建模/"
"8","测试开发工程师-计算机视觉/机器学习方向","上海·杨浦区","20k-40k","经验3-5年/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“六险一金，弹性工作，带薪休假，休闲下午茶”","/扁平管理/弹性工作/大厨定制三餐/就近租房补贴/"
"9","机器学习平台工程师","北京·北京大学","25k-30k","经验3-5年/本科","11:16发布","Yeahmobi","移动互联网/上市公司/150-500人","“上市公司，扁平化管理，弹性工作，丰厚提成”","/大数据/Hadoop/Spark/Hive/Java/"
"10","算法工程师机器学习方向","广州·体育中心","10k-20k","经验3-5年/本科","2天前发布","通付盾","移动互联网,金融/不需要融资/50-150人","“五险一金，节假日福利”","/人工智能/深度学习/图像处理/"
"11","机器学习算法","北京·望京","15k-20k","经验3-5年/本科","1天前发布","秒音科技","移动互联网,金融/不需要融资/50-150人","“五险一金、年底奖金、节日福利、生日趴”","/""""/"
"12","算法工程师机器学习/NLP","北京·西北旺","20k-40k","经验3-5年/硕士","1天前发布","深圳德璞医疗健康管理有限公司","移动互联网,医疗健康/A轮/50-150人","“薪资水平高”","/人工智能/"
"13","机器学习算法工程师","北京·奥运村","40k-70k","经验3-5年/本科","1天前发布","智铀科技","数据服务/A轮/50-150人","“五险一金、团结丰富、周末双休、弹性工作”","/人工智能/数据挖掘/"
"14","机器学习/深度学习工程师","杭州·西溪","25k-50k","经验1-3年/硕士","2019-03-08","涂鸦智能","移动互联网,硬件/C轮/500-2000人","“氛围轻松,行业前景好,产品优秀,精英团队”","/算法/"
"15","机器学习","北京·朝阳区","20k-35k","经验1-3年/本科","11:36发布","闪银奇异","移动互联网,金融/D轮及以上/500-2000人","“全额公积金,自助午餐,高新技术,大牛领导”","/大数据/互联网金融/算法/数据挖掘/数据处理/"
"16","机器学习算法工程师","北京·知春路","25k-50k","经验3-5年/本科","2019-03-15","vivo","移动互联网/未融资/2000人以上","“扁平化，发展快，千万日活”","/人工智能/"
"17","机器学习","杭州·西溪","25k-50k","经验3-5年/大专","09:30发布","蜂融网络","移动互联网,金融/A轮/150-500人","“五险一金 双休 下午茶 每年体检”","/深度学习/推荐/算法/人工智能/"
"18","机器学习","深圳·龙岗区","20k-40k","经验3-5年/本科","09:22发布","深圳市艾唯尔科技有限公司","O2O,硬件/A轮/50-150人","“人工智能,发展空间大”","/人工智能/深度学习/算法/"
"19","机器学习专家","上海·浦东新区","30k-50k","经验5-10年/本科","1天前发布","招商银行信用卡中心","移动互联网,金融/上市公司/2000人以上","“五险一金,职位晋升,各类补贴”","/人工智能/深度学习/"
"20","机器学习","北京·西直门","15k-30k","经验1-3年/硕士","1天前发布","Udesk－企业级智能客服平台","移动互联网,企业服务/C轮/150-500人","“团队强悍,待遇丰厚,数据规模,场景明确”","/企业服务/搜索/NLP/算法/"
"21","机器学习（风控）","上海·塘桥","15k-30k","经验不限/硕士","2019-03-12","买单侠","移动互联网、金融/C轮/500-2000人","“扁平化,弹性制”","/美式企业文化/节日礼物/股票期权/岗位晋升/"
"22","机器学习/数据挖掘研发工程师","武汉·硚口区","15k-30k","经验3-5年/本科","10:46发布","Today今天连锁便利","生活服务/B轮/500-2000人","“新零售,平台大,技术氛围好,大牛多”","/算法/数据分析/"
"23","机器学习/深度学习工程师","杭州·西湖区","15k-30k","经验不限/硕士","1天前发布","百世物流","移动互联网,O2O/D轮及以上/2000人以上","“海量数据环境 成长空间大 弹性工作”","/建模/算法/数据挖掘/"
"24","机器学习/计算机视觉","武汉·东湖新技术开发区","15k-30k","经验3-5年/硕士","09:05发布","武汉心络科技有限公司","医疗健康数据服务/未融资/50-150人","“五险一金,免费午餐,期权股权,住房补贴”","/NLP/人工智能/"
"25","上海-机器学习/数据挖掘工程师","上海·漕宝路","30k-60k","经验5-10年/本科","1天前发布","腾讯","移动互联网,游戏/上市公司/2000人以上","“大平台”","/云计算/大数据/人工智能/建模/"
"26","机器学习/算法工程师","上海·杨浦区","25k-35k","经验3-5年/硕士","10:08发布","眸事网","移动互联网,企业服务/天使轮/150-500人","“人工智能 海量语料 亿级用户标签数据”","/大数据/Java/数据挖掘/"
"27","深度/机器学习","北京·中关村","25k-50k","经验不限/硕士","1天前发布","深睿医疗","移动互联网,医疗健康/B轮/150-500人","“大牛,人性化管理,靠谱团队,技术氛围好”","/医疗健康/深度学习/计算机视觉/算法/"
"28","机器学习","成都·高新区","10k-20k","经验1-3年/本科","2019-02-18","完美世界（成都）","移动互联网,游戏/上市公司/2000人以上","“福利 培训 个人成长”","/云计算/大数据/"
"29","算法工程师-机器学习方向","北京·海淀区","20k-40k","经验3-5年/本科","1天前发布","混沌大学","移动互联网,教育/不需要融资/150-500人","“弹性工作,六险一金,补充医疗,子女福利”","/服务器端/"
"30","机器学习工程师","北京·朝阳区","35k-60k","经验1年以下/本科","11:41发布","闪银奇异","移动互联网,金融/D轮及以上/500-2000人","“七险一金,免费健身,午餐自助,团队大牛”","/算法/数据挖掘/数据分析/"
"31","机器学习算法工程师","深圳·新安","15k-30k","经验1-3年/本科","2019-03-15","vivo","移动互联网/未融资/2000人以上","“弹性工作,大数据平台,工作氛围好,管理规”","/年终分红/带薪年假/年度旅游/岗位晋升/"
"32","机器学习工程师（图像处理）","深圳·南山区","18k-30k","经验3-5年/本科","12:13发布","大道金服","移动互联网,金融/B轮/500-2000人","“硅谷大咖带你飞”","/人工智能/"
"33","机器学习工程师","北京·海淀区","50k-70k","经验3-5年/硕士","11:56发布","乐元素游戏","移动互联网,游戏/不需要融资/500-2000人","“技术大牛,人工智能,机器学习,大数据”","/人工智能/算法/"
"34","机器学习工程师","上海·徐汇区","15k-30k","经验1-3年/本科","11:45发布","问卷网@爱调研","移动互联网/B轮/150-500人","“弹性工作,职业发展”","/NLP/数据分析/算法/"
"35","机器学习工程师（NLP）","上海·杨浦区","25k-40k","经验1-3年/博士","11:37发布","R2.ai","人工智能/A轮/50-150人","“AI,NLP,机器学习”","/其他/人工智能/"
"36","机器学习工程师","深圳·白石洲","30k-45k","经验1-3年/本科","10:52发布","中腾信","金融/不需要融资/2000人以上","“分类,聚类”","/节日礼物/年底多薪/绩效奖金/岗位晋升/"
"37","推荐算法/广告算法/机器学习","上海·张江","35k-70k","经验3-5年/硕士","09:57发布","上海腾聘","移动互联网,数据服务/B轮/50-150人","“发展空间,薪资给力,期权”","/移动互联网/"
"38","机器学习工程师","北京·朝外","20k-40k","经验1-3年/本科","08:43发布","阳光产险信保事业部","金融/不需要融资/2000人以上","“五险一金,绩效奖金,节日福利,医疗保险”","/大数据/金融/Java/算法/"
"39","机器学习工程师","深圳·科技园","30k-60k","经验不限/本科","10:11发布","无秘","移动互联网,金融/B轮/150-500人","“高速发展,团队优秀,待遇丰厚”","/教育/移动互联网/深度学习/算法/建模/"
"40","机器学习工程师（推荐方向）","深圳·西乡","20k-40k","经验3-5年/本科","08:25发布","小步网络","移动互联网/B轮/150-500人","“待遇优厚,成长空间大,弹性上班,下午茶”","/算法/数据挖掘/数据分析/"
"41","NLP/机器学习/自然语言处理工程师","北京·西直门","20k-35k","经验1-3年/本科","10:07发布","康夫子","移动互联网,医疗健康/A轮/15-50人","“七险一金,餐补,15.5薪,技术大牛”","/医疗健康/算法/数据挖掘/"
"42","机器学习工程师（NLP方向）","北京·朝阳区","15k-30k","经验1-3年/硕士","11:19发布","颐圣智能","医疗健康,移动互联网/A轮/15-50人","“地铁周边 五险一金 人工智能 带薪年假”","/人工智能/"
"43","机器学习工程师","成都·四川大学","12k-24k","经验3-5年/不限","10:00发布","顶呱呱","金融/上市公司/2000人以上","“大平台,双休,包吃,非外包”","/人工智能/"
"44","机器学习/深度学习/算法工程师","武汉·洪山区","8k-16k","经验3-5年/本科","09:18发布","有点","移动互联网,数据服务/未融资/15-50人","“工作氛围好,周末双休,良好的环境”","/"
