"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","深度学习算法工程师","深圳·宝安区","25k-50k","经验1-3年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“扁平化，发展快，千万日活”","/NLP/图像处理/"
"2","机器学习","北京·酒仙桥","20k-35k","经验应届毕业生/本科","16:48发布","武汉朝城","移动互联网/未融资/50-150人","“全额六险一金，如果周末加班双倍薪资”","/语音识别/图像处理/深度学习/人工智能/"
"3","深度学习算法工程师","北京·北京大学","30k-50k","经验3-5年/硕士","1天前发布","旷视科技","移动互联网,硬件/C轮/500-2000人","“人工智能”","/计算机视觉/图像处理/人工智能/机器学习/"
"4","深度学习/机器视觉/图像算法工程师","杭州·西兴","10k-20k","经验不限/硕士","14:26发布","很赞科技","游戏/未融资/50-150人","“双休法定假日 五险一金 节日福利”","/图像处理/机器学习/模式识别/"
"5","深度学习算法工程师实习生","上海·东外滩","6k-7k","经验应届毕业生/硕士","2天前发布","平安科技","金融/不需要融资/2000人以上","“年终丰厚 全年技术交流不间断”","/人工智能/"
"6","深度学习研究员","广州·官洲","20k-40k","经验3-5年/本科","2天前发布","广州柠都","企业服务/不需要融资/50-150人","“自动驾驶 福利好”","/汽车/移动互联网/机器学习/人工智能/数据挖掘/"
"7","机器视觉和深度学习","成都·高新区","8k-12k","经验1-3年/本科","2天前发布","酷博","硬件,数据服务/不需要融资/150-500人","“核心岗位、前景好”","/图像处理/计算机视觉/人工智能/"
"8","深度学习","北京·中关村","20k-40k","经验3-5年/本科","2天前发布","友鑫金融","金融/未融资/50-150人","“企业平台大，发展前景好”","/机器学习/NLP/图像处理/"
"9","深度学习算法工程师（可实习）","南京·秦淮区","15k-20k","经验1-3年/本科","2天前发布","积图科技","移动互联网/未融资/15-50人","“五险一金、双休、年终奖金、带薪年假等等”","/计算机视觉/图像处理/模式识别/"
"10","深度学习算法工程师","北京·小关","40k-70k","经验1-3年/本科","2天前发布","台州市黄岩盈美塑业有限公司","移动互联网/C轮/500-2000人","“技术团队近300人，团队来自BAT成员”","/人工智能/"
"11","深度学习算法工程师","北京·海淀区","17k-30k","经验不限/本科","1天前发布","百度","移动互联网,数据服务/不需要融资/2000人以上","“大平台,优秀团队,机会多,弹性工作时”","/NLP/图像处理/"
"12","深度学习","上海·杨浦区","25k-35k","经验1-3年/硕士","17:47发布","R2.ai","人工智能/A轮/50-150人","“AI,深度学习”","/人工智能/图像处理/"
"13","机器学习","北京·朝阳区","20k-35k","经验1-3年/本科","20:06发布","闪银奇异","移动互联网,金融/D轮及以上/500-2000人","“全额公积金,自助午餐,高新技术,大牛领导”","/大数据/互联网金融/算法/数据挖掘/数据处理/"
"14","机器学习（风控）","上海·塘桥","15k-30k","经验不限/硕士","15:30发布","买单侠","移动互联网、金融/C轮/500-2000人","“扁平化,弹性制”","/美式企业文化/节日礼物/股票期权/岗位晋升/"
"15","机器学习","成都·高新区","10k-20k","经验1-3年/本科","14:09发布","完美世界（成都）","移动互联网,游戏/上市公司/2000人以上","“福利 培训 个人成长”","/云计算/大数据/"
"16","深度学习算法工程师-杭州","杭州·西湖区","30k-50k","经验3-5年/硕士","2天前发布","vivo","移动互联网/未融资/2000人以上","“公司文化,行业领先,技术氛围”","/机器学习/计算机视觉/图像处理/"
"17","深度学习算法开发工程师","北京·北京大学","25k-50k","经验3-5年/本科","10:13发布","旷视科技","移动互联网,硬件/C轮/500-2000人","“机会多,人工智能,不打卡”","/计算机视觉/"
"18","深度学习算法工程师实习生","深圳·南山区","6k-7k","经验应届毕业生/硕士","2天前发布","平安科技","金融/不需要融资/2000人以上","“年终丰厚 全年技术交流不间断”","/人工智能/"
