"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","推荐算法专家","北京·东四","30k-50k","经验3-5年/硕士","1天前发布","Keep","社交网络,文化娱乐/D轮及以上/500-2000人","“年底多薪,七险一金,三餐+零食,周末双休”","/机器学习/搜索/深度学习/"
"2","算法工程师（动态定价）","上海·东外滩","20k-35k","经验1-3年/本科","11:43发布","达达-京东到家","O2O/D轮及以上/2000人以上","“技术驱动、核心算法”","/机器学习/深度学习/"
"3","112139-算法工程师","成都·锦江区","10k-20k","经验3-5年/本科","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/人工智能/机器学习/深度学习/计算机视觉/"
"4","算法工程师（图像识别）","深圳·福田区","15k-30k","经验3-5年/硕士","2天前发布","平安产险","移动互联网,金融/上市公司/2000人以上","“大平台,专业团队,高福利”","/人工智能/图像处理/"
"5","算法工程师","厦门·思明区","15k-30k","经验3-5年/本科","17:51发布","瑞幸咖啡","移动互联网,O2O/B轮/2000人以上","“五险一金,人才房,员工宿舍”","/新零售/机器学习/"
"6","中高级算法工程师","上海·杨浦区","25k-50k","经验3-5年/本科","17:48发布","即刻","移动互联网/C轮/50-150人","“产品优秀,技术导向,技术氛围浓,福利超多”","/广告营销/机器学习/"
"7","算法工程师","深圳·南山区","16k-26k","经验1-3年/本科","17:19发布","深信服科技集团","信息安全,企业服务/不需要融资/2000人以上","“福利好，待遇高，成长空间大”","/人工智能/深度学习/"
"8","算法工程师（机器学习方向）","广州·越秀区","15k-30k","经验1-3年/本科","17:33发布","筷子科技","数据服务,广告营销/B轮/50-150人","“创新,人工智能,平台好,氛围好”","/NLP/人工智能/"
"9","算法工程师","上海·杨浦区","25k-40k","经验1-3年/本科","16:46发布","信用算力","移动互联网,金融/B轮/150-500人","“晋升快，福利好，美女多”","/年底双薪/股票期权/带薪年假/绩效奖金/"
"10","100023-资深算法工程师","北京·朝阳区","30k-45k","经验3-5年/硕士","18:21发布","Mobvista","移动互联网/上市公司/500-2000人","“股票期权,大牛多,包四餐,福利好”","/优秀团队/节日礼物/股票期权/带薪年假/"
"11","算法工程师","杭州·西溪","20k-40k","经验3-5年/本科","17:42发布","天壤智能","移动互联网,企业服务/A轮/50-150人","“不打卡、双休、全额五险一金、带薪年假”","/地图/大数据/图像处理/数据挖掘/计算机视觉/"
"12","算法工程师","广州·琶洲","15k-22k","经验3-5年/本科","16:45发布","三盟科技","数据服务,硬件/上市公司/500-2000人","“周末双休 五险一金”","/"
"13","算法工程师","广州·珠江新城","9k-14k","经验1-3年/本科","13:35发布","广州丰申网络科技有限公司","移动互联网,电子商务/A轮/50-150人","“加速成长,福利多多,逻辑大牛控,周末双休”","/广告营销/图像处理/"
"14","算法工程师","杭州·仓前","15k-30k","经验1-3年/本科","11:21发布","昵图网","电子商务/不需要融资/50-150人","“AI前沿研发,发展平台大,工作环境好”","/大数据/人工智能/"
"15","算法工程师","深圳·前海","25k-35k","经验3-5年/本科","20:11发布","盛甜","社交网络,文化娱乐/天使轮/15-50人","“腾讯创业团队 五险一金 灵活上班时间”","/社交/搜索/推荐/"
"16","搜索算法工程师","北京·东四","30k-60k","经验1-3年/硕士","1天前发布","Keep","社交网络,文化娱乐/D轮及以上/500-2000人","“年底多薪,七险一金,三餐+零食,周末双休”","/机器学习/人工智能/"
"17","算法工程师","北京·亦庄","23k-45k","经验1-3年/本科","10:59发布","达达-京东到家","O2O/D轮及以上/2000人以上","“新零售,扁平化管理,免费班车”","/NLP/数据挖掘/"
"18","算法工程师","厦门·思明区","15k-30k","经验不限/本科","10:00发布","瑞幸咖啡","移动互联网,O2O/B轮/2000人以上","“五险一金,午餐补助,带薪年假”","/Java/Scala/Python/"
"19","11112B-算法工程师（南京）","南京·雨花台区","12k-22k","经验3-5年/本科","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/金融/大数据/人工智能/图像处理/"
"20","算法工程师（快驴事业部）","北京·望京","30k-60k","经验5-10年/本科","1天前发布","美团点评","移动互联网,O2O/上市公司/2000人以上","“发展迅速,待遇优厚”","/搜索/推荐/"
"21","算法工程师（bot）","上海·长阳路","30k-60k","经验3-5年/硕士","2019-03-14","英语流利说","移动互联网,教育/上市公司/2000人以上","“上市公司 人工智能 硅谷文化”","/人工智能/深度学习/NLP/"
"22","算法工程师（运筹优化）","北京·上地","25k-50k","经验3-5年/本科","2天前发布","旷视科技","移动互联网,硬件/C轮/500-2000人","“人工智能，人脸识别，云平台”","/深度学习/人工智能/"
"23","算法工程师","深圳·科技园","15k-25k","经验3-5年/本科","2天前发布","小泊","移动互联网,生活服务/不需要融资/500-2000人","“活动多、妹子多、爸爸是万科”","/大数据/"
"24","算法工程师","上海·颛桥","15k-30k","经验3-5年/硕士","2天前发布","雷泰智能","人工智能/B轮/150-500人","“五险一金”","/人工智能/"
"25","算法工程师","北京·高碑店","30k-60k","经验3-5年/硕士","2天前发布","猎豹移动","移动互联网,信息安全/上市公司/500-2000人","“带薪年假,员工旅游,七险一金,周末双休”","/搜索/NLP/"
"26","算法工程师","上海·黄浦区","15k-25k","经验3-5年/本科","2天前发布","上海亘然","移动互联网,社交网络/天使轮/少于15人","“一线美元基金投资。较高的产品审美。”","/推荐/建模/数据挖掘/"
"27","算法工程师","上海·五角场","15k-30k","经验1-3年/本科","2019-03-12","树融科技","企业服务,数据服务/天使轮/15-50人","“扁平化管理,氛围友爱,学习成长”","/数据挖掘/"
"28","算法 工程师/专家","成都·高新区","25k-35k","经验5-10年/本科","1天前发布","咪咕","移动互联网,文化娱乐/不需要融资/2000人以上","“AI平台、大数据平台、中大型互联网公司”","/人工智能/推荐/数据挖掘/"
"29","暑期实习生-算法工程师--图像识别(J10176)","上海·闵行区","4k-6k","经验应届毕业生/本科","10:13发布","哈啰出行","移动互联网,硬件/D轮及以上/2000人以上","“转正留用机会，互联网，出行”","/人工智能/图像处理/"
"30","资深算法工程师","深圳·上梅林","40k-80k","经验5-10年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“亿级用户,千万日活,氛围好”","/移动互联网/数据挖掘/"
"31","高级算法工程师","上海·平凉路","20k-30k","经验3-5年/硕士","11:43发布","达达-京东到家","O2O/D轮及以上/2000人以上","“算法,高并发,互联网”","/机器学习/图像处理/"
"32","算法工程师（自然语言处理）","深圳·南山区","20k-28k","经验应届毕业生/硕士","2天前发布","平安科技","金融/不需要融资/2000人以上","“年终丰厚 全年技术交流不间断”","/人工智能/NLP/"
