"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","图像处理工程师","深圳·上梅林","40k-60k","经验5-10年/不限","1天前发布","vivo","移动互联网/未融资/2000人以上","“千万级用户、股票激励、福利待遇好”","/通信/网络设备/"
"2","图像处理工程师","福州·工业路","10k-20k","经验3-5年/大专","18:03发布","即合","移动互联网/不需要融资/15-50人","“五险一金，意外险，13-15年终奖”","/计算机视觉/"
"3","图像处理软件工程师","深圳·南山区","6k-10k","经验1-3年/本科","10:39发布","中安视达","移动互联网,医疗健康/未融资/15-50人","“机器学习、深度学习等相关算法”","/医疗健康/"
"4","图像处理算法","杭州·仓前","15k-30k","经验3-5年/本科","1天前发布","智微信科","移动互联网,其他/天使轮/15-50人","“五险一金、餐补、股票期权”","/医疗健康/人工智能/深度学习/"
"5","图像算法","武汉·丁字桥","20k-30k","经验3-5年/本科","1天前发布","武汉爱尚科言信息科技有限公司","其他/不需要融资/15-50人","“六险一金 技术大牛”","/人工智能/图像处理/计算机视觉/机器学习/"
"6","图像算法","武汉·中南路","18k-30k","经验3-5年/不限","13:56发布","卓尔电商集团","电子商务,金融/上市公司/500-2000人","“完善的福利，多样化职业发展机制”","/C/C++/"
"7","图像算法","上海·张江","25k-50k","经验3-5年/硕士","2天前发布","润铭科技","电子商务/不需要融资/150-500人","“14-16薪，团队nice，上升空间大”","/人工智能/图像处理/"
"8","图像处理软件工程师","北京·南苑","13k-25k","经验不限/本科","3天前发布","北京博视智动","信息安全,数据服务/未融资/15-50人","“六险一金 年终奖 饭补 交通补 出差补助”","/人工智能/模式识别/"
"9","图像和多媒体算法实习生","北京·海淀区","6k-8k","经验不限/硕士","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“弹性工作，免费三餐，租房补贴，休闲下午茶”","/图像处理/图形处理/"
"10","高级PYTHON工程师-图像处理","深圳·上梅林","18k-32k","经验3-5年/本科","1天前发布","深圳澳谷智能科技有限公司","其他/A轮/少于15人","“国际化企业 优秀的管理团队”","/硬件制造/人工智能/"
"11","图形/图像算法工程师","上海·广中路","20k-40k","经验1-3年/本科","1天前发布","毒APP","移动互联网,电子商务/A轮/150-500人","“一年多薪 核心产品 扁平管理 氛围好”","/电商/图像处理/"
"12","图像处理架构师","北京·中关村","40k-60k","经验5-10年/本科","2019-03-06","好未来","移动互联网,教育/上市公司/2000人以上","“上市公司,大牛团队,晋升空间大,福利优厚”","/模式识别/算法/"
"13","图像处理工程师","杭州·仓前","11k-22k","经验3-5年/本科","19:36发布","电视淘宝","电子商务/不需要融资/50-150人","“六险一金 研发”","/视频/视频/"
"14","图像处理工程师","广州·番禺区","20k-40k","经验3-5年/本科","16:41发布","博智林机器人公司","移动互联网,人工智能/上市公司/500-2000人","“高薪,高平台”","/人工智能/"
"15","图像处理工程师","深圳·宝安区","15k-30k","经验不限/大专","12:45发布","逗拍","移动互联网,文化娱乐/A轮/50-150人","“年底双薪,年终奖,出国游,其他福利”","/视频/算法/"
"16","图像处理工程师/专家（camera方向）","深圳·福田区","30k-60k","经验5-10年/本科","1天前发布","vivo","移动互联网/未融资/2000人以上","“工作氛围好,奖金丰厚,发展空间大”","/人工智能/深度学习/"
"17","图像处理实习生","北京·海淀区","3k-6k","经验不限/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“免费三餐，休闲下午茶，职业大牛”","/算法/"
"18","图像处理工程师","杭州·古墩路","25k-40k","经验1-3年/本科","11:24发布","杭州飞步科技有限公司","移动互联网/天使轮/50-150人","“五险一金,包三餐,弹性工作,交通补助”","/人工智能/算法/"
"19","图像处理研究员","北京·中关村","25k-50k","经验1-3年/硕士","11:40发布","葡萄智学","移动互联网,教育/天使轮/50-150人","“牛人团队,核心技术,互联网教育”","/深度学习/计算机视觉/机器学习/"
"20","系统工程师-图形处理方向","深圳·香蜜湖","15k-30k","经验3-5年/本科","1天前发布","一加手机","电子商务/未融资/500-2000人","“发展前景大 公司氛围好”","/图像处理/计算机视觉/算法/"
"21","图像调优工程师","上海·闵行区","15k-25k","经验3-5年/本科","2019-03-14","便利蜂","移动互联网,生活服务/不需要融资/2000人以上","“人工智能,奖金丰厚,氛围轻松,平台广阔”","/新零售/图像处理/"
