"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","暑期实习生-算法工程师--图像识别(J10176)","上海·闵行区","4k-6k","经验应届毕业生/本科","10:13发布","哈啰出行","移动互联网,硬件/D轮及以上/2000人以上","“转正留用机会，互联网，出行”","/人工智能/图像处理/"
"2","图像识别算法工程师","广州·天河区","8k-15k","经验1-3年/本科","13:46发布","广州暨嘉","硬件,其他/不需要融资/150-500人","“福利好,老板好,氛围好,人性化”","/模式识别/C++/Java/Python/"
"3","图像识别工程师","北京·北下关","20k-40k","经验3-5年/硕士","18:49发布","会通教育","移动互联网,教育/A轮/150-500人","“核心产品、前景行业、氛围好、高额绩效奖”","/算法/图像处理/"
"4","图像识别/机器学习工程师","北京·朝阳区","15k-30k","经验3-5年/硕士","2019-03-14","苏宁体育","移动互联网,文化娱乐/不需要融资/2000人以上","“公司平台大，福利好”","/体育/C++/"
"5","企鹅号数据挖掘工程师-图像识别（深圳）","深圳·科技园","30k-60k","经验5-10年/硕士","2019-03-12","腾讯","移动互联网,游戏/上市公司/2000人以上","“福利好,平台大,薪酬高”","/算法/"
"6","AI-图像识别工程师","武汉·关山","20k-30k","经验3-5年/本科","2019-03-12","时光小屋","移动互联网/B轮/15-50人","“五险一金 带薪年假 午餐补助”","/移动互联网/算法/图像处理/机器学习/模式识别/"
"7","图像识别算法工程师","成都·武侯区","15k-25k","经验3-5年/硕士","18:47发布","Veniibot机器人","其他,硬件/A轮/50-150人","“领导好,环境好,扁平化”","/机器学习/图像处理/模式识别/"
"8","图像识别工程师","杭州·余杭区","20k-40k","经验1-3年/本科","1天前发布","数美","企业服务,数据服务/B轮/150-500人","“行业大咖,自由开放,Geek”","/机器学习/计算机视觉/图像处理/模式识别/"
"9","资深图像识别算法工程师","广州·鱼珠","25k-50k","经验5-10年/本科","09:57发布","云徙科技","数据服务,移动互联网/A轮/500-2000人","“快速晋升,A轮融资,周末双休,福利健全”","/图像处理/人工智能/"
"10","图像识别工程师","哈尔滨·平房区","8k-12k","经验1-3年/硕士","2019-03-12","科佳通用机电","硬件,电子商务/未融资/150-500人","“五险一金，周末双休，加班工资，年终奖金”","/图像处理/模式识别/深度学习/算法/"
"11","图像识别","杭州·临平","8k-16k","经验1-3年/本科","2019-03-11","华视界","人工智能/不需要融资/15-50人","“发展空间大”","/人工智能/"
"12","图像识别工程师","北京·白石桥","20k-40k","经验3-5年/本科","3天前发布","新意互动","广告营销/上市公司/500-2000人","“上市公司，扁平化管理”","/汽车/大数据/深度学习/计算机视觉/图像处理/算法/"
