"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","语音识别与多轮交互算法工程师","北京·西北旺","15k-25k","经验应届毕业生/硕士","20:08发布","Aibee","移动互联网,企业服务/A轮/150-500人","“股权激励,顶尖团队”","/人工智能/"
"2","1111UT-语音识别算法工程师（南京）","南京·雨花台区","12k-22k","经验3-5年/本科","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/金融/大数据/人工智能/"
"3","语音识别（智能催收）","杭州·仓前","25k-50k","经验3-5年/本科","13:44发布","同盾科技","信息安全,数据服务/C轮/500-2000人","“技术大牛”","/人工智能/深度学习/NLP/模式识别/"
"4","语音识别","上海·梅园","20k-40k","经验5-10年/硕士","2天前发布","硅基智能","移动互联网/B轮/150-500人","“节假日福利、绩效奖金、双休、免费午餐”","/人工智能/"
"5","语音识别","北京·西直门","30k-50k","经验3-5年/硕士","2天前发布","Udesk－企业级智能客服平台","移动互联网,企业服务/C轮/150-500人","“团队强悍,待遇丰厚,数据规模”","/机器学习/算法/"
"6","语音识别","北京·三元桥","18k-30k","经验不限/本科","2019-03-15","东芝(中国)有限公司","移动互联网,企业服务/上市公司/150-500人","“弹性工作、社内培训、出国机会、平台超棒”","/移动互联网/大数据/机器学习/深度学习/算法/"
"7","语音识别工程师","北京·海淀区","25k-50k","经验5-10年/本科","11:01发布","闪送","移动互联网/D轮及以上/500-2000人","“发展空间大,福利优厚,带薪年假,团队旅游”","/人工智能/"
"8","语音识别工程师","深圳·科技园","30k-60k","经验不限/本科","16:29发布","无秘","移动互联网,金融/B轮/150-500人","“高速发展,团队优秀,待遇丰厚”","/教育/移动互联网/语音合成/模式识别/算法/"
"9","语音识别工程师","上海·徐家汇","20k-40k","经验不限/硕士","15:34发布","乐言科技","企业服务/B轮/150-500人","“业界顶尖团队 早期期权”","/人工智能/机器学习/深度学习/"
"10","语音识别工程师","北京·牡丹园","30k-50k","经验1-3年/本科","2019-03-14","伴鱼口语","移动互联网/C轮/500-2000人","“产品牛、五险一金、租房补助”","/教育/机器学习/"
"11","语音识别实习生-AI Lab","北京·海淀区","2k-4k","经验不限/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“弹性工作，免费三餐，租房补贴，休闲下午茶”","/NLP/"
"12","语音识别","苏州·吴中区","15k-30k","经验3-5年/硕士","17:42发布","意能通","移动互联网/B轮/50-150人","“优秀团队，人工智能,五险一金,周末双休”","/人工智能/机器学习/NLP/模式识别/"
"13","语音识别","北京·西北旺","30k-60k","经验1-3年/本科","10:26发布","北京宏尚福达科技发展有限公司","移动互联网,人工智能/未融资/150-500人","“保险全额,健身房，早晚餐打车，六险一金”","/视频/移动互联网/深度学习/NLP/语音合成/"
"14","语音识别科学家","北京·中关村","35k-70k","经验3-5年/博士","2019-03-06","好未来","移动互联网,教育/上市公司/2000人以上","“上市公司,大牛团队,晋升空间大,弹性工作制”","/人工智能/机器学习/深度学习/"
"15","语音识别研究员","广州·员村","30k-60k","经验3-5年/硕士","1天前发布","图普科技（深度学习图像识别云）","移动互联网,数据服务/A轮/50-150人","“人工智能,高速发展,弹性工作”","/算法/机器学习/"
"16","语音识别工程师","南京·宁南","17k-33k","经验3-5年/硕士","2天前发布","硅基智能","移动互联网/B轮/150-500人","“节假日福利、绩效奖金、双休、免费午餐”","/移动互联网/人工智能/机器学习/"
"17","语音识别研究员","北京·三元桥","20k-35k","经验1-3年/硕士","2019-03-15","东芝(中国)有限公司","移动互联网,企业服务/上市公司/150-500人","“弹性工作、社内培训、出国机会、带薪年假”","/人工智能/"
"18","语音识别工程师","北京·海淀区","30k-60k","经验3-5年/硕士","11:04发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“免费三餐，租房补贴，带薪休假”","/算法/"
"19","高级语音识别工程师","上海·徐家汇","20k-40k","经验1-3年/硕士","2019-03-15","媒智科技","移动互联网/A轮/15-50人","“股权激励,成长空间,人性化管理,氛围好”","/算法/建模/"
"20","语音识别工程师（技术）","北京·望京","30k-60k","经验3-5年/本科","2019-03-15","一起科技","移动互联网,教育/D轮及以上/500-2000人","“独角兽,待遇好”","/节日礼物/岗位晋升/扁平管理/领导好/"
"21","语音识别工程师","北京·望京","25k-50k","经验1-3年/硕士","1天前发布","数美","企业服务,数据服务/B轮/150-500人","“大牛如云,待遇给力,海量数据,顶尖团队”","/大数据/算法/数据挖掘/"
"22","语音识别算法工程师","北京·北京大学","25k-50k","经验1-3年/硕士","20:56发布","太古代科技","区块链,人工智能/B轮/50-150人","“福利待遇优厚！”","/语音算法/"
"23","语音识别算法工程师","北京·四季青","30k-60k","经验3-5年/硕士","15:06发布","远鉴科技","移动互联网,人工智能/D轮及以上/50-150人","“技术大牛,AI领域,创新优势,团队和谐”","/人工智能/"
"24","语音识别算法工程师(J10008)","北京·亚运村","40k-70k","经验1-3年/本科","13:51发布","伴鱼口语","移动互联网/C轮/500-2000人","“产品牛、福利好、空间大、团队好”","/带薪年假/交通补助/五险一金/住宿补贴/"
"25","语音识别工程师","北京·朝阳门","25k-50k","经验3-5年/本科","09:59发布","roobo","移动互联网/B轮/150-500人","“人工智能,自然语言”","/人工智能/机器学习/深度学习/模式识别/"
"26","语音识别算法工程师","深圳·科技园","25k-50k","经验3-5年/硕士","15:46发布","国音智能科技  SpeakIn","移动互联网/B轮/50-150人","“海归大牛,新兴领域,人工智能”","/机器学习/模式识别/"
"27","语音识别算法工程师","北京·东城区","15k-30k","经验3-5年/本科","12:51发布","客知音","企业服务,移动互联网/A轮/50-150人","“人工智能；技术驱动；大牛带队；福利多多”","/移动互联网/大数据/人工智能/语音合成/"
"28","高级语音识别工程师","北京·中关村","40k-60k","经验5-10年/本科","2天前发布","好未来","移动互联网,教育/上市公司/2000人以上","“年终奖金,五险一金”","/人工智能/语音合成/"
