"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"1","NLP","北京·海淀区","40k-80k","经验5-10年/硕士","16:21发布","联想集团","移动互联网,数据服务/上市公司/2000人以上","“联想正式编制、饭补”","/人工智能/机器学习/算法/"
"2","自然语言处理工程师","上海·杨浦区","30k-60k","经验3-5年/本科","14:00发布","英语流利说","移动互联网,教育/上市公司/2000人以上","“上市公司 人工智能 硅谷文化”","/人工智能/机器学习/NLP/算法/"
"3","1111MK-自然语言处理工程师（南京）","南京·雨花台区","12k-22k","经验1-3年/硕士","00:00发布","平安科技","金融/不需要融资/2000人以上","“五险一金,绩效奖金,带薪年假,定期体检”","/大数据/金融/人工智能/NLP/"
"4","NLP工程师（深圳）","深圳·宝安区","30k-60k","经验3-5年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“弹性工作,大数据平台,管理规范”","/年终分红/带薪年假/年度旅游/岗位晋升/"
"5","NLP工程师","北京·五道口","25k-40k","经验3-5年/硕士","17:11发布","秒针系统","数据服务,广告营销/D轮及以上/500-2000人","“福利待遇好 发展空间大”","/人工智能/"
"6","自然语言处理NLP工程师（聊天机器人）","上海·漕宝路","10k-20k","经验1-3年/本科","11:12发布","卓繁信息","企业服务,其他/不需要融资/150-500人","“年底双薪 带薪年假 领导nice”","/年底双薪/股票期权/专项奖金/节日礼物/"
"7","NLP自然语言处理工程师","北京·望京","15k-30k","经验1-3年/本科","19:09发布","布本智能","数据服务/A轮/15-50人","“待遇优厚,温馨团建,生日会,氛围活跃轻松”","/人工智能/算法/深度学习/"
"8","自然语言处理研究员","深圳·前海","25k-50k","经验3-5年/硕士","1天前发布","商汤科技","移动互联网/C轮/2000人以上","“深入研究”","/NLP/"
"9","搜索与NLP部-工程技术负责人","北京·""""","50k-80k","经验5-10年/本科","2天前发布","美团点评","移动互联网,O2O/上市公司/2000人以上","“平台大，发展好，福利赞”","/项目管理/"
"10","NLP实习生","上海·漕河泾","4k-5k","经验应届毕业生/本科","1天前发布","数旦信息","移动互联网,金融/A轮/15-50人","“转正机会,高福利,学习机会,金融科技”","/人工智能/算法/"
"11","nlp","北京·中关村","20k-40k","经验3-5年/不限","09:04发布","友鑫金融","金融/未融资/50-150人","“平台大，薪资待遇好”","/教育/深度学习/机器学习/算法/"
