"","belong","name","city","district","lowsalary","highsalary","experience","degree","company","companyintroduction","companyfield","companyfinancial","companymembers","tags"
"1","shenduxuexidata","深度学习算法工程师","深圳","宝安区",25,50,"经验1-3年","本科","vivo","“扁平化，发展快，千万日活”","移动互联网","未融资","2000人以上","/NLP/图像处理/"
"2","shenduxuexidata","机器学习","北京","酒仙桥",20,35,"经验应届毕业生","本科","武汉朝城","“全额六险一金，如果周末加班双倍薪资”","移动互联网","未融资","50-150人","/语音识别/图像处理/深度学习/人工智能/"
"3","shenduxuexidata","深度学习算法工程师","北京","北京大学",30,50,"经验3-5年","硕士","旷视科技","“人工智能”","移动互联网,硬件","C轮","500-2000人","/计算机视觉/图像处理/人工智能/机器学习/"
"4","shenduxuexidata","深度学习/机器视觉/图像算法工程师","杭州","西兴",10,20,"经验不限","硕士","很赞科技","“双休法定假日 五险一金 节日福利”","游戏","未融资","50-150人","/图像处理/机器学习/模式识别/"
"5","shenduxuexidata","深度学习算法工程师实习生","上海","东外滩",6,7,"经验应届毕业生","硕士","平安科技","“年终丰厚 全年技术交流不间断”","金融","不需要融资","2000人以上","/人工智能/"
"6","shenduxuexidata","深度学习研究员","广州","官洲",20,40,"经验3-5年","本科","广州柠都","“自动驾驶 福利好”","企业服务","不需要融资","50-150人","/汽车/移动互联网/机器学习/人工智能/数据挖掘/"
"7","shenduxuexidata","机器视觉和深度学习","成都","高新区",8,12,"经验1-3年","本科","酷博","“核心岗位、前景好”","硬件,数据服务","不需要融资","150-500人","/图像处理/计算机视觉/人工智能/"
"8","shenduxuexidata","深度学习","北京","中关村",20,40,"经验3-5年","本科","友鑫金融","“企业平台大，发展前景好”","金融","未融资","50-150人","/机器学习/NLP/图像处理/"
"9","shenduxuexidata","深度学习算法工程师（可实习）","南京","秦淮区",15,20,"经验1-3年","本科","积图科技","“五险一金、双休、年终奖金、带薪年假等等”","移动互联网","未融资","15-50人","/计算机视觉/图像处理/模式识别/"
"10","shenduxuexidata","深度学习算法工程师","北京","小关",40,70,"经验1-3年","本科","台州市黄岩盈美塑业有限公司","“技术团队近300人，团队来自BAT成员”","移动互联网","C轮","500-2000人","/人工智能/"
"11","shenduxuexidata","深度学习算法工程师","北京","海淀区",17,30,"经验不限","本科","百度","“大平台,优秀团队,机会多,弹性工作时”","移动互联网,数据服务","不需要融资","2000人以上","/NLP/图像处理/"
"12","shenduxuexidata","深度学习","上海","杨浦区",25,35,"经验1-3年","硕士","R2.ai","“AI,深度学习”","人工智能","A轮","50-150人","/人工智能/图像处理/"
"13","shenduxuexidata","机器学习","北京","朝阳区",20,35,"经验1-3年","本科","闪银奇异","“全额公积金,自助午餐,高新技术,大牛领导”","移动互联网,金融","D轮及以上","500-2000人","/大数据/互联网金融/算法/数据挖掘/数据处理/"
"14","shenduxuexidata","机器学习（风控）","上海","塘桥",15,30,"经验不限","硕士","买单侠","“扁平化,弹性制”","移动互联网、金融","C轮","500-2000人","/美式企业文化/节日礼物/股票期权/岗位晋升/"
"15","shenduxuexidata","机器学习","成都","高新区",10,20,"经验1-3年","本科","完美世界（成都）","“福利 培训 个人成长”","移动互联网,游戏","上市公司","2000人以上","/云计算/大数据/"
"16","shenduxuexidata","深度学习算法工程师-杭州","杭州","西湖区",30,50,"经验3-5年","硕士","vivo","“公司文化,行业领先,技术氛围”","移动互联网","未融资","2000人以上","/机器学习/计算机视觉/图像处理/"
"17","shenduxuexidata","深度学习算法开发工程师","北京","北京大学",25,50,"经验3-5年","本科","旷视科技","“机会多,人工智能,不打卡”","移动互联网,硬件","C轮","500-2000人","/计算机视觉/"
"18","shenduxuexidata","深度学习算法工程师实习生","深圳","南山区",6,7,"经验应届毕业生","硕士","平安科技","“年终丰厚 全年技术交流不间断”","金融","不需要融资","2000人以上","/人工智能/"
"19","shenduxuexidata","机器学习","杭州","西溪",25,50,"经验3-5年","大专","蜂融网络","“五险一金 双休 下午茶 每年体检”","移动互联网,金融","A轮","150-500人","/深度学习/推荐/算法/人工智能/"
"20","shenduxuexidata","机器学习","深圳","龙岗区",20,40,"经验3-5年","本科","深圳市艾唯尔科技有限公司","“人工智能,发展空间大”","O2O,硬件","A轮","50-150人","/人工智能/深度学习/算法/"
"21","shenduxuexidata","机器学习/深度学习工程师","杭州","西溪",25,50,"经验1-3年","硕士","涂鸦智能","“氛围轻松,行业前景好,产品优秀,精英团队”","移动互联网,硬件","C轮","500-2000人","/算法/"
"22","shenduxuexidata","机器学习","北京","西直门",15,30,"经验1-3年","硕士","Udesk－企业级智能客服平台","“团队强悍,待遇丰厚,数据规模,场景明确”","移动互联网,企业服务","C轮","150-500人","/企业服务/搜索/NLP/算法/"
"23","shenduxuexidata","深度学习-算法工程师（0104114）","杭州","余杭区",10,20,"经验1-3年","本科","Uni-Ubi","“扁平化 绩效奖金 弹性工作 大牛云集”","硬件,其他","B轮","150-500人","/智能硬件/人脸识别/机器学习/图像处理/"
"24","shenduxuexidata","深度学习工程师","上海","南外滩",25,40,"经验3-5年","硕士","极链科技Video++","“极客多,技术大牛,自由环境”","数据服务,文化娱乐","C轮","150-500人","/游戏/视频/人工智能/机器学习/计算机视觉/"
"25","shenduxuexidata","算法/深度学习","北京","海淀区",15,30,"经验不限","硕士","小白世纪","“清华团队,技术牛人,绩效奖金,人工智能”","移动互联网","A轮","15-50人","/人工智能/"
"26","shenduxuexidata","机器学习/深度学习","大连","火炬路",15,25,"经验3-5年","硕士","LINE China","“弹性工作制,绩效奖金,加班补助,股票期权”","移动互联网,游戏","上市公司","150-500人","/图像处理/数据挖掘/"
"27","shenduxuexidata","深度学习工程师","广州","员村",10,20,"经验1-3年","本科","造就科技","“早九晚六 五险一金 福利佳”","移动互联网","A轮","150-500人","/新零售/人工智能/机器学习/算法/"
"28","shenduxuexidata","机器学习／深度学习","上海","杨浦区",18,35,"经验3-5年","本科","千寻位置","“阿里系平台 发展前景广阔”","移动互联网","不需要融资","150-500人","/节日礼物/股票期权/带薪年假/绩效奖金/"
"29","shenduxuexidata","深度学习/计算机视觉研究员","北京","五道口",20,40,"经验3-5年","本科","商汤科技","“大牛云集；扁平管理；带薪年假”","移动互联网","C轮","2000人以上","/人工智能/算法/"
"30","shenduxuexidata","深度学习研究员","厦门","思明区",10,20,"经验不限","本科","唯你网","“落户厦门,六险一金,AI大团队,专家云集”","企业服务,移动互联网","A轮","500-2000人","/Python/算法/机器学习/"
"31","shenduxuexidata","深度学习算法工程师实习生","北京","朝阳区",6,7,"经验应届毕业生","大专","平安科技","“全年技术交流不间断”","金融","不需要融资","2000人以上","/人工智能/"
"32","shenduxuexidata","深度学习/计算机视觉算法开发工程师","北京","五道口",20,40,"经验3-5年","本科","商汤科技","“大牛云集；扁平管理；带薪年假”","移动互联网","C轮","2000人以上","/五险一金/弹性工作/丰盛三餐/发展空间大/"
"33","shenduxuexidata","深度学习工程师","北京","工体",20,40,"经验1-3年","本科","百炼智能","“团队技术强,氛围好”","移动互联网,人工智能","天使轮","15-50人","/人工智能/机器学习/"
"34","shenduxuexidata","深度学习工程师","上海","长宁区",25,50,"经验3-5年","本科","拼多多","“发展快,薪酬给力,包三餐,上市公司”","电子商务,移动互联网","上市公司","2000人以上","/图像处理/计算机视觉/算法/"
"35","shenduxuexidata","机器学习/深度学习/算法工程师","武汉","洪山区",8,16,"经验3-5年","本科","有点","“工作氛围好,周末双休,良好的环境”","移动互联网,数据服务","未融资","15-50人","/"
"36","shenduxuexidata","机器学习/深度学习/算法工程师","福州","铜盘",10,15,"经验不限","本科","顶点软件","“六险一金,餐补体检等,员工旅游,丰厚年终奖”","移动互联网,企业服务","不需要融资","500-2000人","/大数据/"
"37","shenduxuexidata","深度学习工程师","上海","江苏路地铁",14,24,"经验不限","硕士","WESTWELLlab西井科技","“全球顶尖神经形态团队+一线薪酬福利”","数据服务,硬件","B轮","50-150人","/技能培训/股票期权/带薪年假/绩效奖金/"
"38","shenduxuexidata","深度学习系统工程师","上海","徐家汇",25,50,"经验1-3年","硕士","媒智科技","“股权激励,人性化,氛围好,发展空间”","移动互联网","A轮","15-50人","/人工智能/机器学习/图像处理/"
